IP,CODE,NAME,REGION,CITY,LAT,LON,KNOWN
101.89.197.232,CN,'China','Shanghai','Shanghai',31.222220,121.458060,YES
103.130.192.135,ID,'Indonesia','Jakarta Raya','Jakarta',-6.214620,106.845130,YES
103.250.185.144,IN,'India','Maharashtra','Pune',18.519570,73.855350,YES
103.56.149.75,ID,'Indonesia','Jawa Timur','Surabaya',-7.249170,112.750830,YES
104.248.126.170,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
106.12.100.206,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.12.97.78,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.13.101.175,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.13.173.161,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.13.19.28,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.13.207.159,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.13.84.192,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.52.106.61,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.52.196.69,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.52.200.132,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.53.116.230,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.54.224.217,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.54.245.12,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.54.50.236,CN,'China','Beijing','Beijing',39.907500,116.397230,NO
106.54.98.89,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
106.75.103.36,CN,'China','Shanghai','Shanghai',31.222220,121.458060,YES
107.161.176.66,US,'United States of America','Florida','Orlando',28.578845,-81.184602,NO
107.170.249.6,US,'United States of America','California','San Francisco',37.774930,-122.419420,YES
109.244.101.133,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
110.87.98.58,CN,'China','Fujian','Fuzhou',26.061390,119.306110,YES
111.229.158.180,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
111.229.49.165,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
111.229.88.125,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
111.231.202.118,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
111.231.54.33,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
111.93.235.74,IN,'India','Gujarat','Ahmedabad',23.033330,72.616670,YES
112.196.97.85,IN,'India','Chandigarh','Chandigarh',30.734300,76.793300,YES
112.35.27.98,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
113.133.176.204,CN,'China','Shaanxi','Xi'an',34.258330,108.928610,YES
113.199.41.211,KR,'Korea (Republic of)','Gyeonggi-do','Seongnam',37.438610,127.137780,YES
113.200.160.135,CN,'China','Shaanxi','Xi'an',34.258330,108.928610,YES
114.67.67.41,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
114.67.79.46,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
